Approach,MAP,Recall@1,Recall@5,Recall@10,Recall@20,mAP@1,mAP@5,mAP@10,mAP@20
Baseline (No GPS),36.46147010218216,44.0,64.8,73.4,82.39999999999999,44.0,31.74211111111111,31.205710380448476,33.09199197433366
Approach A (Two-Stage),40.07139047979206,43.2,61.6,70.0,77.2,43.2,32.125611111111105,32.78957542831948,35.78847859026125
"Approach B (Weighted, α=0.5)",39.22782700968627,44.4,65.60000000000001,75.6,81.8,44.4,32.649,32.96310950491307,35.45195954512309
"Approach C (GPS-Filtered, r=100)",60.853398824611105,63.2,87.8,97.2,100.0,63.2,49.13361111111111,51.40607142857143,57.30097608250748
