Approach,MAP,Recall@1,Recall@5,Recall@10,Recall@20,mAP@1,mAP@5,mAP@10,mAP@20
Baseline (No GPS),37.44712726279019,44.800000000000004,66.60000000000001,76.0,85.0,44.800000000000004,32.69888888888889,32.23218014613252,34.02845890379308
Approach A (Two-Stage),40.88673450051847,44.4,62.0,70.39999999999999,77.0,44.4,33.459833333333336,33.8319417989418,36.69055524393139
"Approach B (Weighted, α=0.6)",40.88458606791819,46.400000000000006,66.60000000000001,76.2,81.8,46.400000000000006,34.358166666666676,34.57001322751323,36.97821777286382
"Approach C (GPS-Filtered, r=100)",61.54876990197954,63.2,89.8,97.2,100.0,63.2,50.33883333333333,52.03233238851096,58.09416527332771
