models_name,pooling_strategy,MAP,Recall@1,Recall@5,Recall@10,Recall@20,mAP@1,mAP@5,mAP@10,mAP@20
openai/clip-vit-base-patch16_CLS_token,CLS_token,20.69844296830388,26.6,49.0,60.8,72.0,26.6,17.2745,16.23185056059461,17.112971640547837
openai/clip-vit-base-patch16_Mean_pooling,Mean_pooling,24.915457519005887,31.0,51.800000000000004,64.0,76.8,31.0,19.650111111111112,19.088044627110104,20.889667006531578
openai/clip-vit-base-patch16_Mean_no_CLS,Mean_no_CLS,24.8731131974774,31.0,51.4,64.2,76.6,31.0,19.60461111111111,19.04548907155455,20.844106956887053
openai/clip-vit-base-patch16_Max_pooling,Max_pooling,21.02374211995985,28.000000000000004,49.8,66.2,79.4,28.000000000000004,16.99122222222222,16.633321176618796,17.479224904768223
openai/clip-vit-base-patch16_GeM_pooling,GeM_pooling,21.923235952612206,28.4,48.8,64.8,76.4,28.4,16.951999999999998,16.764237717309147,18.11921328945203
