models_name,pooling_strategy,MAP,Recall@1,Recall@5,Recall@10,Recall@20,mAP@1,mAP@5,mAP@10,mAP@20
facebook/dinov3-vith16plus-pretrain-lvd1689m_CLS_token,CLS_token,25.63193658888494,27.400000000000002,40.2,47.199999999999996,59.599999999999994,27.400000000000002,20.329777777777778,20.54355139833711,22.30050797092206
facebook/dinov3-vith16plus-pretrain-lvd1689m_Mean_pooling,Mean_pooling,35.868436613705775,43.8,63.2,72.2,83.39999999999999,43.8,31.17583333333333,30.601402683295543,32.473630298132775
facebook/dinov3-vith16plus-pretrain-lvd1689m_Mean_no_CLS,Mean_no_CLS,35.749247964560084,43.8,62.8,72.0,83.2,43.8,30.997833333333336,30.515086356764925,32.366541371350195
facebook/dinov3-vith16plus-pretrain-lvd1689m_Max_pooling,Max_pooling,35.140528043052754,41.6,66.60000000000001,74.2,79.4,41.6,30.05572222222222,30.17181979087931,32.05103022587883
facebook/dinov3-vith16plus-pretrain-lvd1689m_GeM_pooling,GeM_pooling,36.46150222399109,44.0,64.8,73.4,82.39999999999999,44.0,31.74211111111111,31.205710380448476,33.09199197433366
