models_name,pooling_strategy,MAP,Recall@1,Recall@5,Recall@10,Recall@20,mAP@1,mAP@5,mAP@10,mAP@20
facebook/dinov3-convnext-tiny-pretrain-lvd1689m_CLS_token,CLS_token,17.026465620729475,19.2,38.6,49.8,59.199999999999996,19.2,13.202444444444444,13.08006289367599,14.015396020980905
facebook/dinov3-convnext-tiny-pretrain-lvd1689m_Mean_pooling,Mean_pooling,16.38900838295082,20.200000000000003,37.6,48.8,59.0,20.200000000000003,12.662833333333335,12.516377173091458,13.294347852761534
facebook/dinov3-convnext-tiny-pretrain-lvd1689m_Mean_no_CLS,Mean_no_CLS,16.420959474731507,20.599999999999998,37.4,49.6,58.599999999999994,20.599999999999998,12.692833333333331,12.597238662131518,13.32063464023159
facebook/dinov3-convnext-tiny-pretrain-lvd1689m_Max_pooling,Max_pooling,21.3605847202899,26.6,45.6,55.00000000000001,67.2,26.6,16.852888888888888,16.574735575711767,17.838762132217227
facebook/dinov3-convnext-tiny-pretrain-lvd1689m_GeM_pooling,GeM_pooling,20.71830187306314,24.2,42.0,53.400000000000006,64.4,24.2,16.16538888888889,15.992480347694634,17.138847670168175
