models_name,pooling_strategy,MAP,Recall@1,Recall@5,Recall@10,Recall@20,mAP@1,mAP@5,mAP@10,mAP@20
facebook/dinov3-vitl16-pretrain-sat493m_CLS_token,CLS_token,11.668848946815404,13.600000000000001,30.4,40.2,53.0,13.600000000000001,8.035055555555557,8.03990195893172,8.72600720100194
facebook/dinov3-vitl16-pretrain-sat493m_Mean_pooling,Mean_pooling,13.246911055011337,17.2,38.4,50.0,60.8,17.2,9.867277777777778,9.173836514235322,10.038744988126057
facebook/dinov3-vitl16-pretrain-sat493m_Mean_no_CLS,Mean_no_CLS,13.257447079463965,17.2,38.2,50.4,60.6,17.2,9.846833333333334,9.24101669186193,10.041369673933499
facebook/dinov3-vitl16-pretrain-sat493m_Max_pooling,Max_pooling,12.437259669058859,16.2,31.4,40.8,54.0,16.2,8.736944444444445,8.601401045603426,9.588817011212871
facebook/dinov3-vitl16-pretrain-sat493m_GeM_pooling,GeM_pooling,13.40528778269271,17.4,36.6,46.0,58.4,17.4,9.836166666666667,9.21685682791635,10.089014548606576
