models_name,pooling_strategy,MAP,Recall@1,Recall@5,Recall@10,Recall@20,mAP@1,mAP@5,mAP@10,mAP@20
facebook/dinov3-convnext-small-pretrain-lvd1689m_CLS_token,CLS_token,15.570222995843952,20.599999999999998,39.2,47.0,56.39999999999999,20.599999999999998,11.670500000000002,11.670184334845048,12.750692593669195
facebook/dinov3-convnext-small-pretrain-lvd1689m_Mean_pooling,Mean_pooling,14.761451078380706,17.4,38.6,47.199999999999996,55.400000000000006,17.4,10.24777777777778,10.507332010582008,11.905822616381295
facebook/dinov3-convnext-small-pretrain-lvd1689m_Mean_no_CLS,Mean_no_CLS,14.686163070996571,17.2,38.800000000000004,46.800000000000004,55.60000000000001,17.2,10.147444444444446,10.393134731670447,11.859360756584392
facebook/dinov3-convnext-small-pretrain-lvd1689m_Max_pooling,Max_pooling,17.08504446047276,21.2,39.800000000000004,52.6,61.8,21.2,12.92422222222222,12.632476001511714,13.90584662404313
facebook/dinov3-convnext-small-pretrain-lvd1689m_GeM_pooling,GeM_pooling,17.523884309368892,20.599999999999998,41.0,52.800000000000004,60.8,20.599999999999998,12.926555555555558,13.089584372637944,14.474180601981665
