models_name,pooling_strategy,MAP,Recall@1,Recall@5,Recall@10,Recall@20,mAP@1,mAP@5,mAP@10,mAP@20
facebook/dinov3-vitl16-pretrain-lvd1689m_CLS_token,CLS_token,30.903219520863406,32.0,47.0,59.0,70.19999999999999,32.0,24.959777777777777,25.21570206601159,27.255493888125226
facebook/dinov3-vitl16-pretrain-lvd1689m_Mean_pooling,Mean_pooling,32.449254266457416,36.0,56.599999999999994,69.6,83.2,36.0,26.315055555555556,26.638406494079113,28.69383110965371
facebook/dinov3-vitl16-pretrain-lvd1689m_Mean_no_CLS,Mean_no_CLS,32.335648932370525,35.6,56.2,69.8,82.6,35.6,26.216388888888893,26.563535462333082,28.572597179515657
facebook/dinov3-vitl16-pretrain-lvd1689m_Max_pooling,Max_pooling,34.05044282218646,40.400000000000006,59.0,69.8,80.2,40.400000000000006,28.312611111111107,28.068693027210884,30.2691700431546
facebook/dinov3-vitl16-pretrain-lvd1689m_GeM_pooling,GeM_pooling,33.63313476967905,38.800000000000004,63.2,74.0,83.0,38.800000000000004,27.64733333333333,27.77136180398085,29.885026288024186
