models_name,pooling_strategy,MAP,Recall@1,Recall@5,Recall@10,Recall@20,mAP@1,mAP@5,mAP@10,mAP@20
facebook/dinov3-convnext-base-pretrain-lvd1689m_CLS_token,CLS_token,14.666447775731179,20.200000000000003,33.800000000000004,39.2,45.0,20.200000000000003,11.689111111111112,11.599822656840512,12.2009845240115
facebook/dinov3-convnext-base-pretrain-lvd1689m_Mean_pooling,Mean_pooling,14.342119390894053,18.6,32.4,37.4,45.4,18.6,11.460833333333333,11.267929894179893,11.966905061508635
facebook/dinov3-convnext-base-pretrain-lvd1689m_Mean_no_CLS,Mean_no_CLS,14.30030948350426,18.6,32.4,37.4,45.2,18.6,11.422611111111111,11.213981292517005,11.923746532309226
facebook/dinov3-convnext-base-pretrain-lvd1689m_Max_pooling,Max_pooling,17.934140060690623,21.8,40.400000000000006,49.8,59.199999999999996,21.8,14.123444444444445,13.879167422524565,14.742963237592607
facebook/dinov3-convnext-base-pretrain-lvd1689m_GeM_pooling,GeM_pooling,18.57378044311541,24.6,37.2,45.4,55.60000000000001,24.6,15.236444444444446,15.022844293272863,15.831842792236886
