models_name,pooling_strategy,MAP,Recall@1,Recall@5,Recall@10,Recall@20,mAP@1,mAP@5,mAP@10,mAP@20
geolocal/StreetCLIP_CLS_token,CLS_token,21.042461787513002,27.0,46.0,60.0,72.8,27.0,15.237388888888887,15.168031116150162,17.04661872474919
geolocal/StreetCLIP_Mean_pooling,Mean_pooling,25.72532668680173,30.0,55.2,65.0,73.8,30.0,20.676777777777776,20.27521233308138,22.100758586600023
geolocal/StreetCLIP_Mean_no_CLS,Mean_no_CLS,25.710526092658558,30.0,55.400000000000006,65.0,73.8,30.0,20.705333333333336,20.264593285462333,22.08610726838111
geolocal/StreetCLIP_Max_pooling,Max_pooling,16.0518381438815,25.2,47.4,60.6,74.6,25.2,14.421666666666669,13.165718568909046,13.412830661677894
geolocal/StreetCLIP_GeM_pooling,GeM_pooling,25.486169526934617,32.6,55.800000000000004,66.0,74.6,32.6,21.34322222222222,20.828211892164273,22.140303636352712
