models_name,pooling_strategy,MAP,Recall@1,Recall@5,Recall@10,Recall@20,mAP@1,mAP@5,mAP@10,mAP@20
facebook/dinov3-vits16-pretrain-lvd1689m_CLS_token,CLS_token,30.767843737602924,38.0,56.99999999999999,65.60000000000001,77.60000000000001,38.0,25.910944444444446,25.319713750314943,26.917907339469465
facebook/dinov3-vits16-pretrain-lvd1689m_Mean_pooling,Mean_pooling,29.307198073360258,32.4,56.99999999999999,69.6,80.2,32.4,24.129777777777775,23.963313334593096,25.510215573681112
facebook/dinov3-vits16-pretrain-lvd1689m_Mean_no_CLS,Mean_no_CLS,29.198427840532982,32.4,56.99999999999999,69.19999999999999,80.2,32.4,23.961222222222222,23.867658572688335,25.42498394551186
facebook/dinov3-vits16-pretrain-lvd1689m_Max_pooling,Max_pooling,29.047632393457313,38.0,57.199999999999996,63.800000000000004,74.8,38.0,24.76861111111111,24.323387188208617,25.82848405213595
facebook/dinov3-vits16-pretrain-lvd1689m_GeM_pooling,GeM_pooling,29.02693165008935,36.0,57.599999999999994,67.2,77.2,36.0,24.058222222222224,23.971202097505667,25.555264032466056
