models_name,pooling_strategy,MAP,Recall@1,Recall@5,Recall@10,Recall@20,mAP@1,mAP@5,mAP@10,mAP@20
facebook/dinov3-vits16plus-pretrain-lvd1689m_CLS_token,CLS_token,29.901572755713087,33.6,52.800000000000004,64.4,73.6,33.6,24.36605555555556,24.420306216931216,26.38404332459146
facebook/dinov3-vits16plus-pretrain-lvd1689m_Mean_pooling,Mean_pooling,29.424779271584807,34.0,57.8,70.19999999999999,83.0,34.0,24.975277777777777,24.319033761652808,25.788964219593502
facebook/dinov3-vits16plus-pretrain-lvd1689m_Mean_no_CLS,Mean_no_CLS,29.35556483629228,33.800000000000004,57.4,70.0,82.8,33.800000000000004,24.899055555555556,24.282162068531118,25.750509330286743
facebook/dinov3-vits16plus-pretrain-lvd1689m_Max_pooling,Max_pooling,29.186594014046776,36.4,58.599999999999994,71.6,80.0,36.4,24.386333333333333,24.140055524061474,25.67539147122315
facebook/dinov3-vits16plus-pretrain-lvd1689m_GeM_pooling,GeM_pooling,29.135712068692765,33.6,57.4,69.39999999999999,80.4,33.6,24.744444444444444,24.168875346434866,25.580919431367892
