models_name,pooling_strategy,MAP,Recall@1,Recall@5,Recall@10,Recall@20,mAP@1,mAP@5,mAP@10,mAP@20
openai/clip-vit-base-patch32_CLS_token,CLS_token,20.098603678219597,25.2,47.199999999999996,63.4,72.0,25.2,16.2575,15.901407092466616,16.574250762007154
openai/clip-vit-base-patch32_Mean_pooling,Mean_pooling,25.37398194741002,35.6,55.60000000000001,65.60000000000001,75.0,35.6,20.78966666666667,19.863366024187453,21.269541555608765
openai/clip-vit-base-patch32_Mean_no_CLS,Mean_no_CLS,25.44245692904169,35.4,55.60000000000001,65.4,75.0,35.4,20.860444444444447,19.928354812295286,21.3145235243335
openai/clip-vit-base-patch32_Max_pooling,Max_pooling,22.224170791864026,32.6,58.4,70.39999999999999,82.0,32.6,18.75911111111111,17.679020439657343,18.534451316607253
openai/clip-vit-base-patch32_GeM_pooling,GeM_pooling,28.097765893271117,38.800000000000004,61.4,72.8,82.19999999999999,38.800000000000004,24.618055555555557,23.32702220332577,24.15371835757337
