models_name,pooling_strategy,MAP,Recall@1,Recall@5,Recall@10,Recall@20,mAP@1,mAP@5,mAP@10,mAP@20
facebook/dinov3-vitb16-pretrain-lvd1689m_CLS_token,CLS_token,33.05427643857231,37.2,56.2,64.8,76.2,37.2,27.394944444444448,27.0765126606198,29.59071574859373
facebook/dinov3-vitb16-pretrain-lvd1689m_Mean_pooling,Mean_pooling,33.723084623379236,37.6,59.8,72.8,86.6,37.6,27.790166666666664,27.78294989292013,30.287601266364465
facebook/dinov3-vitb16-pretrain-lvd1689m_Mean_no_CLS,Mean_no_CLS,33.62907496547133,37.6,59.8,72.6,86.4,37.6,27.762999999999998,27.734837459057694,30.215829213852626
facebook/dinov3-vitb16-pretrain-lvd1689m_Max_pooling,Max_pooling,33.51466293241266,41.199999999999996,62.4,71.39999999999999,80.2,41.199999999999996,27.838888888888892,27.861798595364075,30.252415147306866
facebook/dinov3-vitb16-pretrain-lvd1689m_GeM_pooling,GeM_pooling,34.10312444272868,41.4,63.6,73.8,85.39999999999999,41.4,28.40027777777777,28.395626574703957,30.845361113236645
