models_name,pooling_strategy,MAP,Recall@1,Recall@5,Recall@10,Recall@20,mAP@1,mAP@5,mAP@10,mAP@20
facebook/dinov3-convnext-large-pretrain-lvd1689m_CLS_token,CLS_token,15.389727161770505,17.599999999999998,36.199999999999996,45.4,57.8,17.599999999999998,10.530166666666668,10.431189499874023,11.8703969553744
facebook/dinov3-convnext-large-pretrain-lvd1689m_Mean_pooling,Mean_pooling,15.09172018888069,17.8,35.0,44.800000000000004,56.00000000000001,17.8,10.315555555555555,10.354956160241874,11.708873028622472
facebook/dinov3-convnext-large-pretrain-lvd1689m_Mean_no_CLS,Mean_no_CLS,15.095643740504858,17.8,35.0,45.2,56.2,17.8,10.335555555555555,10.383021636432352,11.720780592945982
facebook/dinov3-convnext-large-pretrain-lvd1689m_Max_pooling,Max_pooling,19.291822085931273,24.2,47.4,55.400000000000006,64.2,24.2,15.038444444444444,14.141143014613256,15.595536727838502
facebook/dinov3-convnext-large-pretrain-lvd1689m_GeM_pooling,GeM_pooling,18.818454227179355,21.4,43.2,54.0,62.6,21.4,14.185333333333336,13.963594734189973,15.136450431284896
