models_name,pooling_strategy,MAP,Recall@1,Recall@5,Recall@10,Recall@20,mAP@1,mAP@5,mAP@10,mAP@20
openai/clip-vit-large-patch14_CLS_token,CLS_token,19.110226747995757,22.0,46.400000000000006,60.6,74.6,22.0,13.455388888888889,13.609858371126226,15.095353369295411
openai/clip-vit-large-patch14_Mean_pooling,Mean_pooling,28.64029512329685,32.4,55.400000000000006,67.2,80.4,32.4,22.509500000000003,22.223529006046864,24.783682040298284
openai/clip-vit-large-patch14_Mean_no_CLS,Mean_no_CLS,28.641709400156017,32.6,55.2,67.0,80.4,32.6,22.49922222222222,22.244248582766442,24.796536309116533
openai/clip-vit-large-patch14_Max_pooling,Max_pooling,17.23729800886355,25.6,49.0,58.8,70.39999999999999,25.6,15.100999999999997,14.157830467372134,14.49248592892666
openai/clip-vit-large-patch14_GeM_pooling,GeM_pooling,26.5493080730012,30.2,52.6,65.4,81.2,30.2,21.453166666666664,20.88320266439909,22.772529320657146
